Plaintext,Ciphertext,CipherType
The ice cream was melting in the sun,Aol pjl jylht dhz tlsapun pu aol zbu,caesar
The ice cream was melting in the sun,WAO NDO DZOQC EQX COLWNFM NF WAO XBF,substitution
The ice cream was melting in the sun,nus eht ni gnitlem saw maerc eci ehT,transposition
The ice cream was melting in the sun,LLG ZGX UVGRQ PSW OVPMARI ZR MZI ULR,vigenere
The ice cream was melting in the sun,GSV RXV XIVZN DZH NVOGRMT RM GSV HFM,atbash
The ice cream was melting in the sun,ZRC WSC SPCIQ OIU QCLZWVM WV ZRC UEV,affine
The ice cream was melting in the sun,VFWGDORDYDQKCPNKFZGQHLMUGYNZQU,playfair
The ice cream was melting in the sun,Ticmslg  h c ra a etn ntesneeewmiihu,rail_fence
The ice cream was melting in the sun,10011 00111 00100 01000 00010 00100 00010 10001 00100 00000 01100 10110 00000 10010 01100 00100 01011 10011 01000 01101 00110 01000 01101 10011 00111 00100 10010 10100 01101,bacon
The room was filled with laughter,Znk xuus cgy lorrkj cozn rgamnzkx,caesar
The room was filled with laughter,MPS YDDB IWA XROOSU IRMP OWZCPMSY,substitution
The room was filled with laughter,rethgual htiw dellif saw moor ehT,transposition
The room was filled with laughter,VVH VQCP ACG IMNZHH YWWL NOXKJHHV,vigenere
The room was filled with laughter,GSV ILLN DZH UROOVW DRGS OZFTSGVI,atbash
The room was filled with laughter,ZRC PAAQ OIU HWLLCX OWZR LIEMRZCP,affine
The room was filled with laughter,VFKDWZQKCPGLIZDGBQVFHCENFVKD,playfair
The room was filled with laughter,Tr  lw grh omwsfle ihluheeoaidtat,rail_fence
The room was filled with laughter,10011 00111 00100 10001 01110 01110 01100 10110 00000 10010 00101 01000 01011 01011 00100 00011 10110 01000 10011 00111 01011 00000 10100 00110 00111 10011 00100 10001,bacon
She closed the door gently behind her,Qfc ajmqcb rfc bmmp eclrjw zcfglb fcp,caesar
She closed the door gently behind her,DGZ IWYDZH LGZ HYYE MZFLWT NZGBFH GZE,substitution
She closed the door gently behind her,reh dniheb yltneg rood eht desolc ehS,transposition
She closed the door gently behind her,KLG TPHKIF KLX VSQI KXFXNP FXZMPU LXJ,vigenere
She closed the door gently behind her,HSV XOLHVW GSV WLLI TVMGOB YVSRMW SVI,atbash
She closed the door gently behind her,URC SLAUCX ZRC XAAP MCVZLY NCRWVX RCP,affine
She closed the door gently behind her,PLODSCNORUGYCEKCNDMUHODWILUGGYBT,playfair
She closed the door gently behind her,Scehogledrh lsdtedo etybhn eeo  rn ih,rail_fence
She closed the door gently behind her,10010 00111 00100 00010 01011 01110 10010 00100 00011 10011 00111 00100 00011 01110 01110 10001 00110 00100 01101 10011 01011 11000 00001 00100 00111 01000 01101 00011 00111 00100 10001,bacon
The train chugged down the tracks,Iwt igpxc rwjvvts sdlc iwt igprzh,caesar
The train chugged down the tracks,NGI NOKRU TGVSSIQ QFPU NGI NOKTEM,substitution
The train chugged down the tracks,skcart eht nwod degguhc niart ehT,transposition
The train chugged down the tracks,VVH XTOLR EVXKISG HQKQ XJS WVCQNW,vigenere
The train chugged down the tracks,GSV GIZRM XSFTTVW WLDM GSV GIZXPH,atbash
The train chugged down the tracks,ZRC ZPIWV SREMMCX XAOV ZRC ZPISGU,affine
The train chugged down the tracks,VFKUDBGQALENNDBUKOMUGYKFBROM,playfair
The train chugged down the tracks,Ttnudwhrsh ri hge ontetakeacgd  c,rail_fence
The train chugged down the tracks,10011 00111 00100 10011 10001 00000 01000 01101 00010 00111 10100 00110 00110 00100 00011 00011 01110 10110 01101 10011 00111 00100 10011 10001 00000 00010 01010 10010,bacon
The air was filled with the scent of autumn,Esp ltc hld qtwwpo htes esp dnpye zq lfefxy,caesar
The air was filled with the scent of autumn,TBV DZK XDS RZYYVM XZTB TBV SUVGT LR DJTJAG,substitution
The air was filled with the scent of autumn,nmutua fo tnecs eht htiw dellif saw ria ehT,transposition
The air was filled with the scent of autumn,DLC KMP GEQ PMJVIB GMRR XFO WAORR YJ YEXSWR,vigenere
The air was filled with the scent of autumn,GSV ZRI DZH UROOVW DRGS GSV HXVMG LU ZFGFNM,atbash
The air was filled with the scent of autumn,ZRC IWP OIU HWLLCX OWZR ZRC USCVZ AH IEZEQV,affine
The air was filled with the scent of autumn,VFYDFBYBMLLFGOBEFXFVGYZLDUZKHRVUTNQU,playfair
The air was filled with the scent of autumn,Tawfeitst uh i a ildwt h cn fatmersl heeoun,rail_fence
The air was filled with the scent of autumn,10011 00111 00100 00000 01000 10001 10110 00000 10010 00101 01000 01011 01011 00100 00011 10110 01000 10011 00111 10011 00111 00100 10010 00010 00100 01101 10011 01110 00101 00000 10100 10011 10100 01100 01101,bacon
The piano keys were smooth under his fingers,Hvs dwobc ysmg ksfs gacchv ibrsf vwg twbusfg,caesar
The piano keys were smooth under his fingers,VRG OQWLE NGXF JGCG FTEEVR ALKGC RQF DQLZGCF,substitution
The piano keys were smooth under his fingers,sregnif sih rednu htooms erew syek onaip ehT,transposition
The piano keys were smooth under his fingers,LLG GMTFS MVCL OITV WFGSVY YGVIT YML XMPXIKK,vigenere
The piano keys were smooth under his fingers,GSV KRZML PVBH DVIV HNLLGS FMWVI SRH URMTVIH,atbash
The piano keys were smooth under his fingers,ZRC FWIVA GCYU OCPC UQAAZR EVXCP RWU HWVMCPU,affine
The piano keys were smooth under his fingers,VFYNHBSEEYOPOYDKMNWZVFEUGDAFLQGLUNKDQZ,playfair
The piano keys were smooth under his fingers,Tpoyestn  gh in eswr mohudrhsfneseak eo eiir,rail_fence
The piano keys were smooth under his fingers,10011 00111 00100 01111 01000 00000 01101 01110 01010 00100 11000 10010 10110 00100 10001 00100 10010 01100 01110 01110 10011 00111 10100 01101 00011 00100 10001 00111 01000 10010 00101 01000 01101 00110 00100 10001 10010,bacon
The road ahead was long and uncertain,Max khtw taxtw ptl ehgz tgw ngvxkmtbg,caesar
The road ahead was long and uncertain,YJL FPRZ RJLRZ ORE TPXH RXZ NXILFYRDX,substitution
The road ahead was long and uncertain,niatrecnu dna gnol saw daeha daor ehT,transposition
The road ahead was long and uncertain,LLG ISTV EJVEW OEU CSGY EPU YGUITKEBF,vigenere
The road ahead was long and uncertain,GSV ILZW ZSVZW DZH OLMT ZMW FMXVIGZRM,atbash
The road ahead was long and uncertain,ZRC PAIX IRCIX OIU LAVM IVX EVSCPZIWV,affine
The road ahead was long and uncertain,VFKDYCABGYBAYBZSESHDUGEUDOFKBHQU,playfair
The road ahead was long and uncertain,Tr aaoaurnh odaedwsln n netieah  gdca,rail_fence
The road ahead was long and uncertain,10011 00111 00100 10001 01110 00000 00011 00000 00111 00100 00000 00011 10110 00000 10010 01011 01110 01101 00110 00000 01101 00011 10100 01101 00010 00100 10001 10011 00000 01000 01101,bacon
"He ran through the rain, laughing","Da nwj pdnkqcd pda nwej, hwqcdejc",caesar
"He ran through the rain, laughing","NM VBD TNVGIRN TNM VBUD, YBIRNUDR",substitution
"He ran through the rain, laughing","gnihgual ,niar eht hguorht nar eH",transposition
"He ran through the rain, laughing","ZI TRR MZVQLKA LLG IEBF, PCLKAARI",vigenere
"He ran through the rain, laughing","SV IZM GSILFTS GSV IZRM, OZFTSRMT",atbash
"He ran through the rain, laughing","RC PIV ZRPAEMR ZRC PIWV, LIEMRWVM",affine
"He ran through the rain, laughing",GYDBMUFAEZHIVFKDBHSGDVHIGQIU,playfair
"He ran through the rain, laughing","Hahgha ggerntruhteri,luhn  o  nai",rail_fence
"He ran through the rain, laughing",00111 00100 10001 00000 01101 10011 00111 10001 01110 10100 00110 00111 10011 00111 00100 10001 00000 01000 01101 01011 00000 10100 00110 00111 01000 01101 00110,bacon
The book was an old family heirloom,Hvs pccy kog ob czr toawzm vswfzcca,caesar
The book was an old family heirloom,PZX EMMD HNW NS MQL CNRTQJ ZXTUQMMR,substitution
The book was an old family heirloom,moolrieh ylimaf dlo na saw koob ehT,transposition
The book was an old family heirloom,LLG SSHC ACJ EG GPF WEFAPA YIBJPQFQ,vigenere
The book was an old family heirloom,GSV YLLP DZH ZM LOW UZNROB SVRIOLLN,atbash
The book was an old family heirloom,ZRC NAAG OIU IV ALX HIQWLY RCWPLAAQ,affine
The book was an old family heirloom,VFWDWZEOCPDPCSRGRPLFAPWGCFWZQT,playfair
The book was an old family heirloom,Tb  ofleoh okwsa l aiyhiloeoandm rm,rail_fence
The book was an old family heirloom,10011 00111 00100 00001 01110 01110 01010 10110 00000 10010 00000 01101 01110 01011 00011 00101 00000 01100 01000 01011 11000 00111 00100 01000 10001 01011 01110 01110 01100,bacon
The stars began to fade as the sun rose,Lzw klsjk twysf lg xsvw sk lzw kmf jgkw,caesar
The stars began to fade as the sun rose,NDR LNGXL CRAGW NM JGPR GL NDR LBW XMLR,substitution
The stars began to fade as the sun rose,esor nus eht sa edaf ot nageb srats ehT,transposition
The stars began to fade as the sun rose,LLG JXTJW DVKTF XQ WEWW EU KLX KYP ISLW,vigenere
The stars began to fade as the sun rose,GSV HGZIH YVTZM GL UZWV ZH GSV HFM ILHV,atbash
The stars began to fade as the sun rose,ZRC UZIPU NCMIV ZA HIXC IU ZRC UEV PAUC,affine
The stars began to fade as the sun rose,VFONVRCMDWHDMUKLBAYDMZGYNZMDCZWU,playfair
The stars began to fade as the sun rose,Tssgtaahuoh tr ea ofd stesnrseabn e   e,rail_fence
The stars began to fade as the sun rose,10011 00111 00100 10010 10011 00000 10001 10010 00001 00100 00110 00000 01101 10011 01110 00101 00000 00011 00100 00000 10010 10011 00111 00100 10010 10100 01101 10001 01110 10010 00100,bacon
"They sat on the porch, watching the world go by","Wkhb vdw rq wkh srufk, zdwfklqj wkh zruog jr eb",caesar
"They sat on the porch, watching the world go by","OSYP WFO HC OSY NHQZS, IFOZSMCA OSY IHQEX AH VP",substitution
"They sat on the porch, watching the world go by","yb og dlrow eht gnihctaw ,hcrop eht no tas yehT",transposition
"They sat on the porch, watching the world go by","VVHC UOW SP HKI RCUGJ, KDXEVLRI HKI YCUPF UR FA",vigenere
"They sat on the porch, watching the world go by","GSVB HZG LM GSV KLIXS, DZGXSRMT GSV DLIOW TL YB",atbash
"They sat on the porch, watching the world go by","ZRCY UIZ AV ZRC FAPSR, OIZSRWVM ZRC OAPLX MA NY",affine
"They sat on the porch, watching the world go by",VFYWPCZKMUGYSYDRIYRVALGQFUGYOKCFGNWCWV,playfair
"They sat on the porch, watching the world go by","T  tphaitwd hysto h oc,wthn h ol obeaner cgergy",rail_fence
"They sat on the porch, watching the world go by",10011 00111 00100 11000 10010 00000 10011 01110 01101 10011 00111 00100 01111 01110 10001 00010 00111 10110 00000 10011 00010 00111 01000 01101 00110 10011 00111 00100 10110 01110 10001 01011 00011 00110 01110 00001 11000,bacon
Her fingers danced across the strings of the guitar,Nkx lotmkxy jgtikj gixuyy znk yzxotmy ul znk maozgx,caesar
Her fingers danced across the strings of the guitar,MAK ZVHGAKD LCHXAL CXKRDD OMA DOKVHGD RZ OMA GWVOCK,substitution
Her fingers danced across the strings of the guitar,ratiug eht fo sgnirts eht ssorca decnad sregnif reH,transposition
Her fingers danced across the strings of the guitar,JSU JKBJITG GEPQHH CQUSUG WLG GWVKBJW QT WLG UXMVOU,vigenere
Her fingers danced across the strings of the guitar,SVI URMTVIH WZMXVW ZXILHH GSV HGIRMTH LU GSV TFRGZI,atbash
Her fingers danced across the strings of the guitar,RCP HWVMCPU XIVSCX ISPAUU ZRC UZPWVMU AH ZRC MEWZIP,affine
Her fingers danced across the strings of the guitar,GYFMGQNDCMABSDDGBRCKQZVFONKFGQLNKLVFDNXGVRBT,playfair
Her fingers danced across the strings of the guitar,Hfedecsers  te igr acdars h tig ftegiarnsn otsnohur,rail_fence
Her fingers danced across the strings of the guitar,00111 00100 10001 00101 01000 01101 00110 00100 10001 10010 00011 00000 01101 00010 00100 00011 00000 00010 10001 01110 10010 10010 10011 00111 00100 10010 10011 10001 01000 01101 00110 10010 01110 00101 10011 00111 00100 00110 10100 01000 10011 00000 10001,bacon
The waves crashed against the rocks,Esp hlgpd ncldspo lrltyde esp cznvd,caesar
The waves crashed against the rocks,RWV UDAVY ZHDYWVI DXDQFYR RWV HGZNY,substitution
The waves crashed against the rocks,skcor eht tsniaga dehsarc sevaw ehT,transposition
The waves crashed against the rocks,LLG NEOWW EIELZIF RKTARUK XAW VQTOL,vigenere
The waves crashed against the rocks,GSV DZEVH XIZHSVW ZTZRMHG GSV ILXPH,atbash
The waves crashed against the rocks,ZRC OIJCU SPIURCX IMIWVUZ ZRC PASGU,affine
The waves crashed against the rocks,VFYOHYONRDCPGYABHDGQMZVFKDCLOM,playfair
The waves crashed against the rocks,Twsadatech ae rse gis h okevchantrs,rail_fence
The waves crashed against the rocks,10011 00111 00100 10110 00000 10101 00100 10010 00010 10001 00000 10010 00111 00100 00011 00000 00110 00000 01000 01101 10010 10011 10011 00111 00100 10001 01110 00010 01010 10010,bacon
The old fence was covered in ivy,Esp zwo qpynp hld nzgpcpo ty tgj,caesar
The old fence was covered in ivy,KDC LVA TCYJC XME JLOCGCA HY HOP,substitution
The old fence was covered in ivy,yvi ni derevoc saw ecnef dlo ehT,transposition
The old fence was covered in ivy,DLC YPB PILMI UKW AYZCBIB SR GFC,vigenere
The old fence was covered in ivy,GSV LOW UVMXV DZH XLEVIVW RM REB,atbash
The old fence was covered in ivy,ZRC ALX HCVSC OIU SAJCPCX WV WJY,affine
The old fence was covered in ivy,VFYKGCGKSDYOCPLCUYDKBGQGYA,playfair
The old fence was covered in ivy,Tofesvd h l ec a oee niyednwcriv,rail_fence
The old fence was covered in ivy,10011 00111 00100 01110 01011 00011 00101 00100 01101 00010 00100 10110 00000 10010 00010 01110 10101 00100 10001 00100 00011 01000 01101 01000 10101 11000,bacon
The streetlights flickered as the night wore on,Uif tusffumjhiut gmjdlfsfe bt uif ojhiu xpsf po,caesar
The streetlights flickered as the night wore on,NEP TNSPPNKFRENT WKFGBPSPC VT NEP QFREN OXSP XQ,substitution
The streetlights flickered as the night wore on,no erow thgin eht sa derekcilf sthgilteerts ehT,transposition
The streetlights flickered as the night wore on,VVH WVFHIVZLKJHV JNWFOGFHH CG WLG BLKJH ZSTS RR,vigenere
The streetlights flickered as the night wore on,GSV HGIVVGORTSGH UORXPVIVW ZH GSV MRTSG DLIV LM,atbash
The streetlights flickered as the night wore on,ZRC UZPCCZLWMRZU HLWSGCPCX IU ZRC VWMRZ OAPC AV,affine
The streetlights flickered as the night wore on,VFONKFWUZFLHFVMLFLROKDDGCPVFDULHFVOKDKES,playfair
The streetlights flickered as the night wore on,Tseg cesegw h tetihsfikrda h ih oeoerltle tntrn,rail_fence
The streetlights flickered as the night wore on,10011 00111 00100 10010 10011 10001 00100 00100 10011 01011 01000 00110 00111 10011 10010 00101 01011 01000 00010 01010 00100 10001 00100 00011 00000 10010 10011 00111 00100 01101 01000 00110 00111 10011 10110 01110 10001 00100 01110 01101,bacon
"She ran through the field, her hair flying behind her","Kzw jsf lzjgmyz lzw xawdv, zwj zsaj xdqafy twzafv zwj",caesar
"She ran through the field, her hair flying behind her","CKM BUA XKBOQLK XKM SFMWV, KMB KUFB SWDFAL EMKFAV KMB",substitution
"She ran through the field, her hair flying behind her","reh dniheb gniylf riah reh ,dleif eht hguorht nar ehS",transposition
"She ran through the field, her hair flying behind her","UVH VCB WLTCXKJ HKI HWHPF, VHV JOLV HZBMPU EIJWQH JSU",vigenere
"She ran through the field, her hair flying behind her","HSV IZM GSILFTS GSV URVOW, SVI SZRI UOBRMT YVSRMW SVI",atbash
"She ran through the field, her hair flying behind her","URC PIV ZRPAEMR ZRC HWCLX, RCP RIWP HLYWVM NCRWVX RCP",affine
"She ran through the field, her hair flying behind her",PLKDDPVFCKENFVGYGLOGAGKDPHFBGFWHUNDWILUGGYBT,playfair
"She ran through the field, her hair flying behind her","Srtutfdeafnedrh a hog h il,hrhi ligbhn eenrhee  ry ih",rail_fence
"She ran through the field, her hair flying behind her",10010 00111 00100 10001 00000 01101 10011 00111 10001 01110 10100 00110 00111 10011 00111 00100 00101 01000 00100 01011 00011 00111 00100 10001 00111 00000 01000 10001 00101 01011 11000 01000 01101 00110 00001 00100 00111 01000 01101 00011 00111 00100 10001,bacon
The flowers bloomed in the garden,Iwt uadltgh qaddbts xc iwt vpgstc,caesar
The flowers bloomed in the garden,XRB AOCQBUG NOCCLBZ WK XRB MDUZBK,substitution
The flowers bloomed in the garden,nedrag eht ni demoolb srewolf ehT,transposition
The flowers bloomed in the garden,VVH JNCZITG EPQCPIF WQ XJS JETRHR,vigenere
The flowers bloomed in the garden,GSV UOLDVIH YOLLNVW RM GSV TZIWVM,atbash
The flowers bloomed in the garden,ZRC HLAOCPU NLAAQCX WV ZRC MIPXCV,affine
The flowers bloomed in the garden,VFKGSCOYCMCIWZNKBGMUGYHDDADU,playfair
The flowers bloomed in the garden,Tfebmihanh lwr loe ntegreeosod  d,rail_fence
The flowers bloomed in the garden,10011 00111 00100 00101 01011 01110 10110 00100 10001 10010 00001 01011 01110 01110 01100 00100 00011 01000 01101 10011 00111 00100 00110 00000 10001 00011 00100 01101,bacon
"The wind picked up, blowing the leaves around","Rfc uglb ngaicb sn, zjmugle rfc jcytcq ypmslb",caesar
"The wind picked up, blowing the leaves around","LPM WTJY CTAGMY EC, UBVWTJQ LPM BMZSMO ZNVEJY",substitution
"The wind picked up, blowing the leaves around","dnuora sevael eht gniwolb ,pu dekcip dniw ehT",transposition
"The wind picked up, blowing the leaves around","LLG NMGV TKTOXV YR, SPHOMPX XAW PGRZXK ETFYGV",vigenere
"The wind picked up, blowing the leaves around","GSV DRMW KRXPVW FK, YOLDRMT GSV OVZEVH ZILFMW",atbash
"The wind picked up, blowing the leaves around","ZRC OWVX FWSGCX EF, NLAOWVM ZRC LCIJCU IPAEVX",affine
"The wind picked up, blowing the leaves around",VFYOGQANLBEYGEQASCBQUNVFOGYDUYPCCKEUBU,playfair
"The wind picked up, blowing the leaves around","Tw kubitlerdh idpce p lwn h evsaonenid,ogea u",rail_fence
"The wind picked up, blowing the leaves around",10011 00111 00100 10110 01000 01101 00011 01111 01000 00010 01010 00100 00011 10100 01111 00001 01011 01110 10110 01000 01101 00110 10011 00111 00100 01011 00100 00000 10101 00100 10010 00000 10001 01110 10100 01101 00011,bacon
They shared a quiet moment in the park,Kyvp jyrivu r hlzvk dfdvek ze kyv grib,caesar
They shared a quiet moment in the park,GEPF CEIJPM I KDBPG AUAPHG BH GEP ZIJW,substitution
They shared a quiet moment in the park,krap eht ni tnemom teiuq a derahs yehT,transposition
They shared a quiet moment in the park,VVHC UVDVGR D UWWHX OCPIPH LR VVH TCFN,vigenere
They shared a quiet moment in the park,GSVB HSZIVW Z JFRVG NLNVMG RM GSV KZIP,atbash
They shared a quiet moment in the park,ZRCY URIPCX I KEWCZ QAQCVZ WV ZRC FIPG,affine
They shared a quiet moment in the park,VFYWPLBDDGBPXGKUSKNKMUGQVFYNBDWT,playfair
They shared a quiet moment in the park,T raimnnerhysae  ue oeti h akehdqtm tp,rail_fence
They shared a quiet moment in the park,10011 00111 00100 11000 10010 00111 00000 10001 00100 00011 00000 10000 10100 01000 00100 10011 01100 01110 01100 00100 01101 10011 01000 01101 10011 00111 00100 01111 00000 10001 01010,bacon
The sound of a bird chirping broke the silence,Dro cyexn yp k lsbn mrsbzsxq lbyuo dro csvoxmo,caesar
The sound of a bird chirping broke the silence,QLI VAPGO AU X YCDO MLCDWCGS YDANI QLI VCJIGMI,substitution
The sound of a bird chirping broke the silence,ecnelis eht ekorb gniprihc drib a fo dnuos ehT,transposition
The sound of a bird chirping broke the silence,LLG JSNFH QW E UAVF TLBJTKEK UJSMV XAW WKCIGUI,vigenere
The sound of a bird chirping broke the silence,GSV HLFMW LU Z YRIW XSRIKRMT YILPV GSV HROVMXV,atbash
The sound of a bird chirping broke the silence,ZRC UAEVX AH I NWPX SRWPFWVM NPAGC ZRC UWLCVSC,affine
The sound of a bird chirping broke the silence,VFONEZUGKLBCFBARILAMGQIDCKEYVFONLFDUDO,playfair
The sound of a bird chirping broke the silence,Tsd icp khich on fabr hrigboeteslneeuo dinr  e,rail_fence
The sound of a bird chirping broke the silence,10011 00111 00100 10010 01110 10100 01101 00011 01110 00101 00000 00001 01000 10001 00011 00010 00111 01000 10001 01111 01000 01101 00110 00001 10001 01110 01010 00100 10011 00111 00100 10010 01000 01011 00100 01101 00010 00100,bacon
She took a deep breath and stepped forward,Oda pkkg w zaal xnawpd wjz opallaz bknswnz,caesar
She took a deep breath and stepped forward,JSK VWWQ E OKKN UIKEVS EMO JVKNNKO XWIPEIO,substitution
She took a deep breath and stepped forward,drawrof deppets dna htaerb peed a koot ehS,transposition
She took a deep breath and stepped forward,KLG KSHC E FVII TVGRXA SRF JXXHTGU JHJACIH,vigenere
She took a deep breath and stepped forward,HSV GLLP Z WVVK YIVZGS ZMW HGVKKVW ULIDZIW,atbash
She took a deep breath and stepped forward,URC ZAAG I XCCF NPCIZR IVX UZCFFCX HAPOIPX,affine
She took a deep breath and stepped forward,PLKUWZYRGDYNCDYDVFDPCNUKQVDGLKBKBDBU,playfair
She took a deep breath and stepped forward,St ebtnteorh okade rahadsepdfradeo pe  p w,rail_fence
She took a deep breath and stepped forward,10010 00111 00100 10011 01110 01110 01010 00000 00011 00100 00100 01111 00001 10001 00100 00000 10011 00111 00000 01101 00011 10010 10011 00100 01111 01111 00100 00011 00101 01110 10001 10110 00000 10001 00011,bacon
"The storm passed, leaving behind a rainbow","Iwt hidgb ephhts, atpkxcv qtwxcs p gpxcqdl",caesar
"The storm passed, leaving behind a rainbow","VXS EVBCD HKEESL, WSKOMZG RSXMZL K CKMZRBF",substitution
"The storm passed, leaving behind a rainbow","wobniar a dniheb gnivael ,dessap mrots ehT",transposition
"The storm passed, leaving behind a rainbow","LLG JXHJQ RRWLWH, NVEOARI SIAARF R VTARDFA",vigenere
"The storm passed, leaving behind a rainbow","GSV HGLIN KZHHVW, OVZERMT YVSRMW Z IZRMYLD",atbash
"The storm passed, leaving behind a rainbow","ZRC UZAPQ FIUUCX, LCIJWVM NCRWVX I PIWVNAO",affine
"The storm passed, leaving behind a rainbow",VFONZKFTVHQZDGGOHYGQIDYGGQABDBGQCWBW,playfair
"The storm passed, leaving behind a rainbow","Tsms,agh aoh tr asd evn eidaribweopelibn n",rail_fence
"The storm passed, leaving behind a rainbow",10011 00111 00100 10010 10011 01110 10001 01100 01111 00000 10010 10010 00100 00011 01011 00100 00000 10101 01000 01101 00110 00001 00100 00111 01000 01101 00011 00000 10001 00000 01000 01101 00001 01110 10110,bacon
The scent of the ocean was refreshing,Znk yiktz ul znk uikgt cgy xklxkynotm,caesar
The scent of the ocean was refreshing,JAR HBRZJ IG JAR IBRSZ MSH WRGWRHAXZU,substitution
The scent of the ocean was refreshing,gnihserfer saw naeco eht fo tnecs ehT,transposition
The scent of the ocean was refreshing,VVH WESQX QT WLG CFICB ZEU FHJTSVLKBJ,vigenere
The scent of the ocean was refreshing,GSV HXVMG LU GSV LXVZM DZH IVUIVHSRMT,atbash
The scent of the ocean was refreshing,ZRC USCVZ AH ZRC ASCIV OIU PCHPCURWVM,affine
The scent of the ocean was refreshing,VFONDOMUKLVFYKDODPYBMCKGDKPLGQIU,playfair
The scent of the ocean was refreshing,Tst  aaesgh cn fteoenwsrfehneeohc  ri,rail_fence
The scent of the ocean was refreshing,10011 00111 00100 10010 00010 00100 01101 10011 01110 00101 10011 00111 00100 01110 00010 00100 00000 01101 10110 00000 10010 10001 00100 00101 10001 00100 10010 00111 01000 01101 00110,bacon
The sky turned pink as the sun began to rise,Vjg uma vwtpgf rkpm cu vjg uwp dgicp vq tkug,caesar
The sky turned pink as the sun began to rise,FKL GRV FNPDLB OHDR JG FKL GND ULSJD FT PHGL,substitution
The sky turned pink as the sun began to rise,esir ot nageb nus eht sa knip denrut yks ehT,transposition
The sky turned pink as the sun began to rise,VVH WMM WYTBHH RWQO CG WLG GXR DSJEP HR VKGH,vigenere
The sky turned pink as the sun began to rise,GSV HPB GFIMVW KRMP ZH GSV HFM YVTZM GL IRHV,atbash
The sky turned pink as the sun began to rise,ZRC UGY ZEPVCX FWVG IU ZRC UEV NCMIV ZA PWUC,affine
The sky turned pink as the sun began to rise,VFONEWUVDMDGQHMECPVFONEUDWHDMUKCLQWU,playfair
The sky turned pink as the sun began to rise,Tsteiahue rh k undpn stesnbgnt ieeyr k   aos,rail_fence
The sky turned pink as the sun began to rise,10011 00111 00100 10010 01010 11000 10011 10100 10001 01101 00100 00011 01111 01000 01101 01010 00000 10010 10011 00111 00100 10010 10100 01101 00001 00100 00110 00000 01101 10011 01110 10001 01000 10010 00100,bacon
The streets were quiet in the early morning,Sgd rsqddsr vdqd pthds hm sgd dzqkx lnqmhmf,caesar
The streets were quiet in the early morning,AHK TAQKKAT FKQK VMOKA OG AHK KCQNB LSQGOGE,substitution
The streets were quiet in the early morning,gninrom ylrae eht ni teiuq erew steerts ehT,transposition
The streets were quiet in the early morning,VVH WVFHIVG ZITS TYKSW MP HKI GOUPA ARVPWQK,vigenere
The streets were quiet in the early morning,GSV HGIVVGH DVIV JFRVG RM GSV VZIOB NLIMRMT,atbash
The streets were quiet in the early morning,ZRC UZPCCZU OCPC KEWCZ WV ZRC CIPLY QAPVWVM,affine
The streets were quiet in the early morning,VFONKFWUZMOYDKNXGWXFMUGYYDCFKPKCQGUN,playfair
The streets were quiet in the early morning,Tsew enermih tet eeqiti h al onnersru teyrg,rail_fence
The streets were quiet in the early morning,10011 00111 00100 10010 10011 10001 00100 00100 10011 10010 10110 00100 10001 00100 10000 10100 01000 00100 10011 01000 01101 10011 00111 00100 00100 00000 10001 01011 11000 01100 01110 10001 01101 01000 01101 00110,bacon
Her heart was full of hope,Khu khduw zdv ixoo ri krsh,caesar
Her heart was full of hope,GMR GMTRU LTI OWBB ZO GZKM,substitution
Her heart was full of hope,epoh fo lluf saw traeh reH,transposition
Her heart was full of hope,RIP RIYBX UKW DEPJ YJ FYTC,vigenere
Her heart was full of hope,SVI SVZIG DZH UFOO LU SLKV,atbash
Her heart was full of hope,RCP RCIPZ OIU HELL AH RAFC,affine
Her heart was full of hope,GYAFYDFKYBMLZGSCGIYSWU,playfair
Her heart was full of hope,Hhtslfpe er a ulo oerawf h,rail_fence
Her heart was full of hope,00111 00100 10001 00111 00100 00000 10001 10011 10110 00000 10010 00101 10100 01011 01011 01110 00101 00111 01110 01111 00100,bacon
The snow was falling gently from the sky,Uif topx xbt gbmmjoh hfoumz gspn uif tlz,caesar
The snow was falling gently from the sky,YJS AZXB BKA RKFFNZL LSZYFC RMXQ YJS ADC,substitution
The snow was falling gently from the sky,yks eht morf yltneg gnillaf saw wons ehT,transposition
The snow was falling gently from the sky,VVH WPCZ ACG IENZLRI UHRVZB JTCP XJS VOA,vigenere
The snow was falling gently from the sky,GSV HMLD DZH UZOORMT TVMGOB UILN GSV HPB,atbash
The snow was falling gently from the sky,ZRC UVAO OIU HILLWVM MCVZLY HPAQ ZRC UGY,affine
The snow was falling gently from the sky,VFONSEBWCPHRIZGQIUDUZFKHCKTKGYMOWV,playfair
The snow was falling gently from the sky,Ts  l tf  h nwwsfliggnl rmtesyeoaaneyohk,rail_fence
The snow was falling gently from the sky,10011 00111 00100 10010 01101 01110 10110 10110 00000 10010 00101 00000 01011 01011 01000 01101 00110 00110 00100 01101 10011 01011 11000 00101 10001 01110 01100 10011 00111 00100 10010 01010 11000,bacon
"He stood at the edge of the cliff, looking out","Nk yzuuj gz znk kjmk ul znk iroll, ruuqotm uaz",caesar
"He stood at the edge of the cliff, looking out","OA NHYYK VH HOA AKEA YT HOA MFQTT, FYYGQZE YSH",substitution
"He stood at the edge of the cliff, looking out","tuo gnikool ,ffilc eht fo egde eht ta doots eH",transposition
